ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description,options,dataTables
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.BlankLinesAroundFieldsWithAnnotations,Add a blank line around fields with annotations,"Fields with annotations should have a blank line before them to clearly separate them from the field above. If another field follows, it should also have a blank line after so that the field with the annotation has space on either side of it, visually distinguishing it from its neighbors.",1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.CorrectlySpacedDescriptions,Correctly spaced descriptions,"Recipe descriptions should be cleanly formatted. This recipe forces correct spacing in multiline descriptions. In a multi line description the lines should not start with whitespace and end with a single space except for the last line which should end with a ""."" (e.g.
```
  return ""This is a correct "" +
   ""multi line description"";
```
).",1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.ExecutionContextParameterName,Use a standard name for `ExecutionContext`,Visitors that are parameterized with `ExecutionContext` should use the parameter name `ctx`.,1,Recipes,Java,,Basic building blocks for transforming Java code.,"[{""name"":""parameterName"",""type"":""String"",""displayName"":""Parameter name"",""description"":""The name or prefix to use for the `ExecutionContext` parameter."",""example"":""ctx""}]",
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.FindRecipes,Find OpenRewrite recipes,"This recipe finds all OpenRewrite recipes, primarily to produce a data table that is being used to experiment with fine-tuning a large language model to produce more recipes.",1,Recipes,Java,,Basic building blocks for transforming Java code.,,"[{""name"":""org.openrewrite.table.RewriteRecipeSource"",""displayName"":""Rewrite recipe source code"",""description"":""This table contains the source code of recipes along with their metadata for use in an experiment fine-tuning large language models to produce more recipes."",""columns"":[{""name"":""displayName"",""type"":""String"",""displayName"":""Recipe name"",""description"":""The name of the recipe.""},{""name"":""description"",""type"":""String"",""displayName"":""Recipe description"",""description"":""The description of the recipe.""},{""name"":""recipeType"",""type"":""RecipeType"",""displayName"":""Recipe type"",""description"":""Differentiate between Java and YAML recipes, as they may be two independent data sets used in LLM fine-tuning.""},{""name"":""sourceCode"",""type"":""String"",""displayName"":""Recipe source code"",""description"":""The full source code of the recipe.""},{""name"":""options"",""type"":""String"",""displayName"":""Recipe options"",""description"":""JSON format of recipe options.""}]}]"
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.IsLiteralNullRecipe,"Use `J.Literal.isLiteralValue(expression, null)`","Replace `expression instanceof J.Literal && ((J.Literal) expression).getValue() == null` with `J.Literal.isLiteralValue(expression, null)`.",1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.MissingOptionExample,Find missing `@Option` `example` values,Find `@Option` annotations that are missing `example` values for documentation.,1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.NoMutableStaticFieldsInRecipes,Recipe classes should not have mutable `static` fields,Remove mutable static fields from Recipe classes to discourage their use.,1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.RecipeClassesShouldBePublic,Recipe classes should be public,Ensures that classes extending Recipe are declared as public for proper visibility and accessibility.,1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.RecipeEqualsAndHashCodeCallSuper,Use of `@EqualsAndHashCode` on `Recipe`,"Recipes are value objects, so should use `@EqualsAndHashCode(callSuper = false)`. While in most cases recipes do not extend other classes and so the option is moot, as a matter of stylistic consistency and to enforce the idea that recipes are value objects, this value should be set to `false`.",1,Recipes,Java,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-rewrite,org.openrewrite.java.recipes.RemoveImportBeforeAddImport,Reorder `maybeRemoveImport` before `maybeAddImport`,Reorders `maybeAddImport` and `maybeRemoveImport` calls so that imports are removed before new imports are added. This ordering prevents potential conflicts when the import being added and the import being removed resolve to the same simple class name.,1,Recipes,Java,,Basic building blocks for transforming Java code.,,
